Name,Symbol,Current Price (USD),Market Cap,24h Volume,24h Price Change (%)
Bitcoin,BTC,117889,2345856878112,42161560051,0.00312
Ethereum,ETH,3802.28,459142746675,32113476358,0.67556
XRP,XRP,3.14,185931229209,5942378257,0.62309
Tether,USDT,0.99977,163619894463,88975426438,-0.01588
BNB,BNB,809.15,112699756179,2024620579,-2.19633
Solana,SOL,181.51,97661125753,5571662182,-0.36283
USDC,USDC,0.999803,63801242422,13400617569,0.00271
Lido Staked Ether,STETH,3798.79,34065535182,85719145,0.86745
Dogecoin,DOGE,0.225183,33857223320,2133942542,-0.31837
TRON,TRX,0.337583,31970398597,3187452411,4.39785
Cardano,ADA,0.78624,28439319967,1228984297,-0.54628
Wrapped stETH,WSTETH,4593.73,14999784873,41299492,0.66033
Wrapped Bitcoin,WBTC,117769,14946743487,153860603,0.08825
Hyperliquid,HYPE,43.2,14382077014,408809970,-0.92851
Stellar,XLM,0.422848,13205200625,351976872,0.99699
Sui,SUI,3.82,13142569541,1600991652,-2.76687
Chainlink,LINK,17.89,12136618775,652900039,-1.26276
Wrapped Beacon ETH,WBETH,4075.62,12080539389,27922531,0.30975
Bitcoin Cash,BCH,567.39,11296116338,323138751,-2.3357
Hedera,HBAR,0.263671,11185820123,461726000,-1.87556
Wrapped eETH,WEETH,4078.87,10755231397,44848066,0.92624
Avalanche,AVAX,24.4,10301512860,743921081,-1.54028
WETH,WETH,3806.36,8597194719,136453071,0.88646
Litecoin,LTC,109.14,8307902446,593245709,0.24444
LEO Token,LEO,8.96,8270099458,2893760,-0.0364
Toncoin,TON,3.38,8172725959,294318314,5.04515
Ethena USDe,USDE,1.001,7765825200,226492311,0.03335
Shiba Inu,SHIB,1.313e-05,7735692169,209051876,-1.58402
USDS,USDS,0.999669,7672346610,6667997,0.0113
Binance Bridged USDT (BNB Smart Chain),BSC-USD,0.999402,6788988435,2783916840,-0.06697
Coinbase Wrapped BTC,CBBTC,117991,6344539131,427225178,0.05291
WhiteBIT Coin,WBT,44.09,6344118253,34321956,0.10792
Uniswap,UNI,10.39,6240113036,497056923,-0.12534
Polkadot,DOT,3.9,5942325561,297367759,-1.38637
Monero,XMR,315.53,5821250614,132304629,-1.09029
Bitget Token,BGB,4.53,5167557984,132330888,-0.78161
Pepe,PEPE,1.152e-05,4848506180,840689803,-3.06528
Cronos,CRO,0.144464,4665672390,117051803,3.37789
Ethena Staked USDe,SUSDE,1.19,4389343294,22659298,0.02889
Aave,AAVE,282.77,4299448301,386151041,-1.90245
Dai,DAI,0.9998,3756021829,90720675,-0.02088
Ethena,ENA,0.578851,3666953596,1041578576,-5.85167
