Name,Symbol,Current Price (USD),Market Cap,24h Volume,24h Price Change (%)
Bitcoin,BTC,117889,2345856878112,42161560051,0.00312
Ethereum,ETH,3802.28,459142746675,32113476358,0.67556
XRP,XRP,3.14,185931229209,5942378257,0.62309
Tether,USDT,0.99977,163619894463,88975426438,-0.01588
BNB,BNB,809.15,112699756179,2024620579,-2.19633
Solana,SOL,181.51,97661125753,5571662182,-0.36283
USDC,USDC,0.999803,63801242422,13400617569,0.00271
Lido Staked Ether,STETH,3798.79,34065535182,85719145,0.86745
Dogecoin,DOGE,0.225183,33857223320,2133942542,-0.31837
TRON,TRX,0.337583,31970398597,3187452411,4.39785
